index,class
0,"Scotch terrier, Scottish terrier, Scottie"
1,"African chameleon, Chamaeleo chamaeleon"
2,standard schnauzer
3,terrapin
4,"great grey owl, great gray owl, Strix nebulosa"
5,bustard
6,ptarmigan
7,"Pekinese, Pekingese, Peke"
8,hen
9,"Lhasa, Lhasa apso"
10,Lakeland terrier
11,pelican
12,"Tibetan terrier, chrysanthemum dog"
13,agama
14,"junco, snowbird"
15,mud turtle
16,cock
17,"cairn, cairn terrier"
18,Blenheim spaniel
19,"brambling, Fringilla montifringilla"
20,"king penguin, Aptenodytes patagonica"
21,Chihuahua
22,Japanese spaniel
23,"Dandie Dinmont, Dandie Dinmont terrier"
24,"bald eagle, American eagle, Haliaeetus leucocephalus"
25,"Airedale, Airedale terrier"
26,"albatross, mollymawk"
27,"water ouzel, dipper"
28,black grouse
29,"spotted salamander, Ambystoma maculatum"
30,vulture
31,Shih-Tzu
32,giant schnauzer
33,"common iguana, iguana, Iguana iguana"
34,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui"
35,"thunder snake, worm snake, Carphophis amoenus"
36,"basset, basset hound"
37,"Maltese dog, Maltese terrier, Maltese"
38,"Sealyham terrier, Sealyham"
39,"frilled lizard, Chlamydosaurus kingi"
40,"red-backed sandpiper, dunlin, Erolia alpina"
41,"redshank, Tringa totanus"
42,"oystercatcher, oyster catcher"
43,"American alligator, Alligator mississipiensis"
44,"hognose snake, puff adder, sand viper"
45,Australian terrier
46,papillon
47,"Komodo dragon, Komodo lizard, dragon lizard, giant lizard, Varanus komodoensis"
48,"American chameleon, anole, Anolis carolinensis"
49,"bloodhound, sleuthhound"
50,"European fire salamander, Salamandra salamandra"
51,"ostrich, Struthio camelus"
52,triceratops
53,soft-coated wheaten terrier
54,West Highland white terrier
55,"loggerhead, loggerhead turtle, Caretta caretta"
56,bulbul
57,alligator lizard
58,"African crocodile, Nile crocodile, Crocodylus niloticus"
59,"house finch, linnet, Carpodacus mexicanus"
60,"goldfinch, Carduelis carduelis"
61,"common newt, Triturus vulgaris"
62,"Afghan hound, Afghan"
63,"bullfrog, Rana catesbeiana"
64,Rhodesian ridgeback
65,beagle
66,"green lizard, Lacerta viridis"
67,banded gecko
68,"leatherback turtle, leatherback, leathery turtle, Dermochelys coriacea"
69,"tree frog, tree-frog"
70,toy terrier
71,"Gila monster, Heloderma suspectum"
72,"axolotl, mud puppy, Ambystoma mexicanum"
73,dowitcher
74,"whiptail, whiptail lizard"
75,chickadee
76,"green snake, grass snake"
77,"silky terrier, Sydney silky"
78,"indigo bunting, indigo finch, indigo bird, Passerina cyanea"
79,"Boston bull, Boston terrier"
80,"American coot, marsh hen, mud hen, water hen, Fulica americana"
81,"ringneck snake, ring-necked snake, ring snake"
82,"ruddy turnstone, Arenaria interpres"
83,"robin, American robin, Turdus migratorius"
84,magpie
85,miniature schnauzer
86,"European gallinule, Porphyrio porphyrio"
87,novel
