image,superclass_index,subclass_index,description
0.jpg,1,37,"nature photograph of a dog, specifically a Maltese dog, Maltese terrier, Maltese, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
1.jpg,0,42,"nature photograph of a bird, specifically a oystercatcher, oyster catcher, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
2.jpg,1,62,"nature photograph of a dog, specifically a Afghan hound, Afghan, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
3.jpg,1,31,"nature photograph of a dog, specifically a Shih-Tzu, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
4.jpg,0,4,"nature photograph of a bird, specifically a great grey owl, great gray owl, Strix nebulosa, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
5.jpg,2,61,"nature photograph of a reptile, specifically a common newt, Triturus vulgaris, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
6.jpg,2,57,"nature photograph of a reptile, specifically a alligator lizard, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
7.jpg,1,70,"nature photograph of a dog, specifically a toy terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
8.jpg,1,65,"nature photograph of a dog, specifically a beagle, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
9.jpg,0,41,"nature photograph of a bird, specifically a redshank, Tringa totanus, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
10.jpg,1,64,"nature photograph of a dog, specifically a Rhodesian ridgeback, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
11.jpg,1,36,"nature photograph of a dog, specifically a basset, basset hound, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
12.jpg,0,20,"nature photograph of a bird, specifically a king penguin, Aptenodytes patagonica, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
13.jpg,0,19,"nature photograph of a bird, specifically a brambling, Fringilla montifringilla, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
14.jpg,1,62,"nature photograph of a dog, specifically a Afghan hound, Afghan, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
15.jpg,0,60,"nature photograph of a bird, specifically a goldfinch, Carduelis carduelis, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
16.jpg,0,78,"nature photograph of a bird, specifically a indigo bunting, indigo finch, indigo bird, Passerina cyanea, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
17.jpg,1,49,"nature photograph of a dog, specifically a bloodhound, sleuthhound, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
18.jpg,2,3,"nature photograph of a reptile, specifically a terrapin, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
19.jpg,2,50,"nature photograph of a reptile, specifically a European fire salamander, Salamandra salamandra, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
20.jpg,0,16,"nature photograph of a bird, specifically a cock, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
21.jpg,0,4,"nature photograph of a bird, specifically a great grey owl, great gray owl, Strix nebulosa, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
22.jpg,1,45,"nature photograph of a dog, specifically a Australian terrier, centered composition, photorealistic, 8k, the animal is fully visible within frame and not cut off"
